"Data are from N. Ohta, ""The Basis of Color Reproduction Engineering (Japanese)"", published by Corona-sha Co of Japan in 1997",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"patch key at right -->",,,"Macbeth Color Checker Patches",,,,,,,,,,,,,,,,,,,,
"wavelength",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,"Patch Numbers"
590,0.13,0.44,0.16,0.12,0.22,0.3,0.5,0.09,0.27,0.05,0.42,0.61,0.04,0.16,0.11,0.73,0.2,0.09,0.89,0.59,0.36,0.21,0.09,0.03,,
595,0.13,0.47,0.15,0.11,0.23,0.28,0.52,0.09,0.35,0.06,0.39,0.62,0.04,0.14,0.14,0.73,0.24,0.08,0.89,0.59,0.36,0.21,0.09,0.03,,
600,0.14,0.49,0.15,0.1,0.24,0.26,0.53,0.09,0.42,0.06,0.37,0.62,0.04,0.12,0.19,0.74,0.28,0.08,0.89,0.59,0.36,0.2,0.09,0.03,,
605,0.14,0.51,0.15,0.1,0.24,0.25,0.54,0.09,0.47,0.07,0.36,0.63,0.04,0.11,0.26,0.74,0.33,0.08,0.89,0.59,0.36,0.2,0.09,0.03,,
610,0.15,0.53,0.14,0.1,0.25,0.23,0.55,0.09,0.52,0.07,0.35,0.64,0.04,0.1,0.33,0.75,0.39,0.08,0.89,0.59,0.36,0.2,0.09,0.03,,
615,0.15,0.54,0.14,0.1,0.25,0.23,0.56,0.08,0.55,0.09,0.34,0.64,0.04,0.09,0.41,0.75,0.46,0.07,0.89,0.59,0.36,0.2,0.09,0.03,,
620,0.15,0.55,0.14,0.1,0.24,0.22,0.57,0.08,0.57,0.1,0.33,0.65,0.04,0.09,0.49,0.75,0.52,0.07,0.89,0.59,0.36,0.2,0.09,0.03,,
625,0.16,0.56,0.13,0.1,0.24,0.22,0.57,0.09,0.58,0.11,0.33,0.65,0.04,0.09,0.55,0.76,0.58,0.07,0.89,0.58,0.36,0.2,0.09,0.03,,
630,0.16,0.56,0.13,0.1,0.25,0.22,0.58,0.09,0.59,0.13,0.33,0.65,0.04,0.08,0.6,0.76,0.63,0.07,0.89,0.58,0.36,0.2,0.09,0.03,,
635,0.17,0.57,0.13,0.1,0.25,0.21,0.58,0.09,0.6,0.14,0.32,0.66,0.04,0.08,0.63,0.77,0.67,0.07,0.89,0.58,0.35,0.2,0.09,0.03,,
640,0.17,0.57,0.12,0.1,0.27,0.21,0.59,0.1,0.6,0.15,0.32,0.66,0.04,0.08,0.65,0.77,0.7,0.07,0.89,0.58,0.35,0.2,0.09,0.03,,
645,0.18,0.58,0.12,0.1,0.29,0.21,0.59,0.11,0.6,0.16,0.32,0.67,0.04,0.08,0.67,0.77,0.72,0.07,0.89,0.58,0.35,0.2,0.09,0.03,,
650,0.19,0.59,0.12,0.1,0.32,0.21,0.6,0.11,0.61,0.17,0.32,0.67,0.04,0.08,0.69,0.78,0.74,0.07,0.89,0.58,0.35,0.2,0.09,0.03,,
655,0.2,0.6,0.12,0.1,0.35,0.21,0.6,0.12,0.61,0.18,0.32,0.68,0.04,0.08,0.69,0.78,0.76,0.08,0.89,0.58,0.35,0.2,0.09,0.03,,
660,0.2,0.61,0.11,0.1,0.38,0.21,0.6,0.12,0.61,0.19,0.32,0.68,0.04,0.08,0.7,0.78,0.77,0.08,0.89,0.58,0.35,0.2,0.09,0.03,,
665,0.21,0.61,0.11,0.1,0.42,0.22,0.61,0.13,0.61,0.21,0.33,0.68,0.04,0.08,0.7,0.78,0.77,0.08,0.89,0.58,0.35,0.2,0.09,0.03,,
670,0.22,0.62,0.11,0.1,0.45,0.22,0.61,0.13,0.61,0.22,0.34,0.68,0.04,0.08,0.71,0.78,0.78,0.08,0.89,0.57,0.35,0.2,0.09,0.03,,
675,0.23,0.64,0.11,0.11,0.47,0.23,0.61,0.12,0.61,0.23,0.35,0.68,0.04,0.08,0.71,0.78,0.79,0.08,0.89,0.57,0.35,0.2,0.09,0.03,,
680,0.24,0.65,0.11,0.13,0.49,0.23,0.62,0.12,0.61,0.25,0.35,0.69,0.04,0.08,0.72,0.79,0.79,0.08,0.89,0.57,0.35,0.2,0.09,0.03,,
